,,,메인보드 품목,단가,제조사,소켓,세부 칩셋,폼팩터,길이,폭,DDR,메모리 슬롯,램 클럭 지원,SLI,CF,DVI,D-Sub,HDMI 2.0,HDMI,DP,USB C 3.1,USB C 3.0,USB 3.1,USB 3.0,USB 2.0,"SATA
3","SATA
2",M.2,SATAe,U.2,LAN,WiFi,Bluetooth,색상,RGB Sync
115,LGA 1151v2,,[MSI] H370 게이밍 플러스,\140400,MSI,LGA 1151v2,H370,ATX,30.4,24.3,DDR4,4 개,2666Mhz,,2,O,,,,O,1,,1,2,2,5,,1,,,Intel I219V,,,,O
116,LGA 1151v2,,[MSI] H370M 바주카,\120000,MSI,LGA 1151v2,H370,m-ATX,24.4,24.4,DDR4,4 개,2666Mhz,,,O,,,O,,,1,,3,2,6,,1,,,Realtek RTL8111H,,,,O
117,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,-- [커피레이크] Z370 --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,LGA 1151v2,,[ASRock] Z370 EXTREME 4,\172400,ASRock,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4333Mhz,2,3,1,1,,1,,1,,1,4,,8,,2,,,Intel I219V,,,검은,O
121,LGA 1151v2,,[ASRock] Z370 PRO4,\144700,ASRock,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4266Mhz,1,2,1,1,,1,,,1,,5,,6,,2,,,Intel I219V,,,검은,
122,LGA 1151v2,,[ASRock] Z370 Taichi,\268000,ASRock,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4333Mhz,3,3,,,,1,1,1,,1,4,,8,,3,,,Intel I219V + I211-AT,O,,검은,O
123,LGA 1151v2,,[ASRock] Z370M PRO4,\137500,ASRock,LGA 1151v2,Z370,m-ATX,24.4,24.4,DDR4,4개,4333Mhz,1,2,1,1,,1,,,1,,4,1,6,,2,,,Intel I219V,,,검회,
124,LGA 1151v2,,[ASRock] FATAL1TY Z370 Gaming K6,\258000,ASRock,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4333Mhz,2,3,1,1,,1,,1,,1,4,,8,,2,,,Intel I219V + I211-AT,,,검은,O
125,LGA 1151v2,,[ASRock] FATAL1TY Z370 Gaming-ITX/ac,\270700,ASRock,LGA 1151v2,Z370,m-ITX,17,17,DDR4,2개,4333Mhz,1,1,,,1,,1,,,,6,,6,,1,,,Intel I219V,O,,검정,
126,LGA 1151v2,, ,,,LGA 1151v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,LGA 1151v2,,[ASUS] PRIME Z370-A,\197900,ASUS,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4000Mhz,2,3,1,,,1,1,1,,1,2,2,6,,2,,,Intel I219V,,,검은,O
