,,,CPU 품목,가격,제품군,제조사,코어 수,쓰레드 수,동작속도,터보속도,L3캐시,내장 그래픽,GPU속도,"최대 지원
메모리",TDP,소켓,정품,"기본쿨러포함",모델
130,LGA 1151v2,,[Intel] i7-8700 (커피레이크)(벌크),\360000,Core i7,Intel,6개,12개,3.2 Ghz,4.6 Ghz,12MB,UHD 630,1200Mhz,2666Mhz,65W,LGA 1151v2,X,X,i7-8700
131,LGA 1151v2,,[Intel] i7-8700 (커피레이크)(벌크+쿨러),\365000,Core i7,Intel,6개,12개,3.2 Ghz,4.6 Ghz,12MB,UHD 630,1200Mhz,2666Mhz,65W,LGA 1151v2,X,O,i7-8700
132,LGA 1151v2,,[Intel] i7-8700K (커피레이크),\395000,Core i7,Intel,6개,12개,3.7 Ghz,4.7 Ghz,12MB,UHD 630,1200Mhz,2666Mhz,95W,LGA 1151v2,O,X,i7-8700K
133,LGA 1151v2,,[Intel] i7-8700K (커피레이크)(벌크),\385000,Core i7,Intel,6개,12개,3.7 Ghz,4.7 Ghz,12MB,UHD 630,1200Mhz,2666Mhz,95W,LGA 1151v2,X,X,i7-8700K
134,LGA 1151v2,,[Intel] i7-8700K (커피레이크)(벌크+쿨러),\393000,Core i7,Intel,6개,12개,3.7 Ghz,4.7 Ghz,12MB,UHD 630,1200Mhz,2666Mhz,95W,LGA 1151v2,X,O,i7-8700K
135,LGA 1151v2,,[Intel] i7-8086K (커피레이크),\489500,Core i7,Intel,6개,12개,4 Ghz,5 Ghz,12MB,UHD 630,1200Mhz,2666Mhz,95W,LGA 1151v2,O,X,i7-8086K
136,,, ,,,,,,,,,,,,,,,,
137,,,-- [Intel] 제온 E3 Family --,,,,,,,,,,,,,,,,
138,,, ,,,,,,,,,,,,,,,,
139,LGA 1150,,[Intel] E3-1220 v3 (하스웰),\511350,Xeon,Intel,4개,4개,3.1 GHz,3.5 GHz,8MB,N/A,N/A,1600Mhz,80W,LGA 1150,O,O,E3-1220 v3
140,LGA 1150,,[Intel] E3-1225 v3 (하스웰),\511350,Xeon,Intel,4개,4개,3.2 GHz,3.6 GHz,8MB,HD P4600,1200Mhz,1600Mhz,84W,LGA 1150,O,O,E3-1225 v3
141,LGA 1150,,[Intel] E3-1226 v3 (하스웰 리프레시),\289670,Xeon,Intel,4개,4개,3.3 Ghz,3.7 Ghz,8MB,HD P4600,1200Mhz,1600Mhz,84W,LGA 1150,O,O,E3-1226 v3
142,LGA 1150,,[Intel] E3-1230 v3 (하스웰),\511350,Xeon,Intel,4개,8개,3.3 GHz,3.7 GHz,8MB,N/A,N/A,1600Mhz,80W,LGA 1150,O,O,E3-1230 v3
