,,,제품,가격,회사,파워 규격,정격 용량,액티브 PFC,레일,+12V 전류,4핀 IDE,SATA,PCI-E (6),PCI-E(6+2),Reform 케이블,모듈러,대기전력 1W,플랫 케이블,프리볼트,80 PLUS,깊이,무상 A/S (/유상)
142,600,,[topower] TOP-630A P1 80PLUS STANDARD,\55000,topower,ATX,630W,O,다중,27/27,4,6,,2,O,,O,,O,스탠다드,140,5
143,800,,[topower] TOP-800WB 80PLUS BRONZE Single Rail,\89000,topower,ATX,800W,O,싱글,65,4,6,,4,O,,O,,O,브론즈,140,3
144,,, ,,,,,,,,,,,,,,,,,,,
145,,,-- 델타 --,,,,,,,,,,,,,,,,,,,
146,,, ,,,,,,,,,,,,,,,,,,,
147,600,,[델타] DPS-650AB/7C 88PLUS,\65000,델타,ATX,650W,O,다중,35/35,3,5,,4,,,,,O,,155,5
148,600,,[델타] DPS-650AB-7C BTC,\66740,델타,ATX,650W,O,다중,35/35,3,5,,4,,,,,O,,155,2/1
149,400,,[델타] GPS-450CB 80PLUS STANDARD,\45000,델타,ATX,450W,O,다중,18/18,2,4,,2,,,O,,O,스탠다드,150,5
150,500,,[델타] GPS-550LB 80 PLUS BRONZE,\66000,델타,ATX,550W,O,다중,30/30,4,4,,1,,,,,O,브론즈,140,5
151,600,,[델타] GPS-650JB 80 PLUS BRONZE,\68500,델타,ATX,650W,O,다중,35/35,3,5,,4,,,,,O,브론즈,155,5
152,600,,[델타] GPS-650LB 80PLUS PLATINUM,\174000,델타,ATX,650W,O,다중,40/40,5,6,,4,O,,,,O,플래티넘,155,7
153,700,,[델타] GPS-750FB 80PLUS PLATINUM,\211000,델타,ATX,750W,O,다중,40/40,5,6,,4,O,,,,O,플래티넘,155,7
154,800,,[델타] GPS-850HB 80PLUS PLATINUM,\249600,델타,ATX,850W,O,다중,50/50,4,9,,6,O,,,,O,플래티넘,155,7
155,,, ,,,,,,,,,,,,,,,,,,,
156,,,-- 마이크로닉스 --,,,,,,,,,,,,,,,,,,,
157,,, ,,,,,,,,,,,,,,,,,,,
158,600,,[마이크로닉스] ASTRO GD 650W 80PLUS GOLD,\110700,마이크로닉스,ATX,650W,O,싱글,54.2,3,6,,2,O,,O,,O,골드,160,5
159,700,,[마이크로닉스] ASTRO GD 750W 80PLUS GOLD,\137900,마이크로닉스,ATX,750W,O,싱글,62.5/62.5,4,6,,4,O,,O,,O,골드,160,5
160,500,,[마이크로닉스] Classic II 500W +12V Single Rail 85+,\40400,마이크로닉스,ATX,500W,O,싱글,37.5,3,6,,2,,,O,,,스탠다드,140,6
161,600,,[마이크로닉스] Classic II 600W +12V Single Rail 85+,\49100,마이크로닉스,ATX,600W,O,싱글,45,4,6,,2,,,O,,,스탠다드,140,6
162,700,,[마이크로닉스] Classic II 700W +12V Single Rail 85+,\64100,마이크로닉스,ATX,700W,O,싱글,52.5,4,6,,4,,,O,,,스탠다드,140,6
163,300,,[마이크로닉스] Compact SFX 300W 80Plus Bronze,\44000,마이크로닉스,SFX,300W,O,싱글,20,2,3,1,1,,,O,,O,브론즈,100,3
